4: Kazalniki bolniškega staleža po spolu in gospodarskih dejavnostih (SKD), Slovenija, letno po spremenljivkah: Gospodarske dejavnosti po SKD, Kazalnik, Leto in Spol;;;
;;;
;;;Spol - SKUPAJ
C33 Popravila in montaža strojev in naprav;Izgubljeni koledarski dnevi na zaposlenega (IO);2011;11
C33 Popravila in montaža strojev in naprav;Izgubljeni koledarski dnevi na zaposlenega (IO);2012;13
C33 Popravila in montaža strojev in naprav;Izgubljeni koledarski dnevi na zaposlenega (IO);2013;14
C33 Popravila in montaža strojev in naprav;Izgubljeni koledarski dnevi na zaposlenega (IO);2014;12
C33 Popravila in montaža strojev in naprav;Izgubljeni koledarski dnevi na zaposlenega (IO);2015;13
C33 Popravila in montaža strojev in naprav;Izgubljeni koledarski dnevi na zaposlenega (IO);2016;12
C33 Popravila in montaža strojev in naprav;Izgubljeni koledarski dnevi na zaposlenega (IO);2017;12
C33 Popravila in montaža strojev in naprav;Izgubljeni koledarski dnevi na zaposlenega (IO);2018;14
D35 Oskrba z elektri?no energijo, plinom in paro;Izgubljeni koledarski dnevi na zaposlenega (IO);2010;15
D35 Oskrba z elektri?no energijo, plinom in paro;Izgubljeni koledarski dnevi na zaposlenega (IO);2011;14
D35 Oskrba z elektri?no energijo, plinom in paro;Izgubljeni koledarski dnevi na zaposlenega (IO);2012;14
D35 Oskrba z elektri?no energijo, plinom in paro;Izgubljeni koledarski dnevi na zaposlenega (IO);2013;13
D35 Oskrba z elektri?no energijo, plinom in paro;Izgubljeni koledarski dnevi na zaposlenega (IO);2014;14
D35 Oskrba z elektri?no energijo, plinom in paro;Izgubljeni koledarski dnevi na zaposlenega (IO);2015;14
D35 Oskrba z elektri?no energijo, plinom in paro;Izgubljeni koledarski dnevi na zaposlenega (IO);2016;15
D35 Oskrba z elektri?no energijo, plinom in paro;Izgubljeni koledarski dnevi na zaposlenega (IO);2017;15
D35 Oskrba z elektri?no energijo, plinom in paro;Izgubljeni koledarski dnevi na zaposlenega (IO);2018;15
E36 Zbiranje, pre?iš?evanje in distribucija vode;Izgubljeni koledarski dnevi na zaposlenega (IO);2010;16
E36 Zbiranje, pre?iš?evanje in distribucija vode;Izgubljeni koledarski dnevi na zaposlenega (IO);2011;17
E36 Zbiranje, pre?iš?evanje in distribucija vode;Izgubljeni koledarski dnevi na zaposlenega (IO);2012;15
E36 Zbiranje, pre?iš?evanje in distribucija vode;Izgubljeni koledarski dnevi na zaposlenega (IO);2013;14
E36 Zbiranje, pre?iš?evanje in distribucija vode;Izgubljeni koledarski dnevi na zaposlenega (IO);2014;15
E36 Zbiranje, pre?iš?evanje in distribucija vode;Izgubljeni koledarski dnevi na zaposlenega (IO);2015;15
E36 Zbiranje, pre?iš?evanje in distribucija vode;Izgubljeni koledarski dnevi na zaposlenega (IO);2016;17
E36 Zbiranje, pre?iš?evanje in distribucija vode;Izgubljeni koledarski dnevi na zaposlenega (IO);2017;19
E36 Zbiranje, pre?iš?evanje in distribucija vode;Izgubljeni koledarski dnevi na zaposlenega (IO);2018;19
E37 Ravnanje z odplakami;Izgubljeni koledarski dnevi na zaposlenega (IO);2010;22
E37 Ravnanje z odplakami;Izgubljeni koledarski dnevi na zaposlenega (IO);2011;18
E37 Ravnanje z odplakami;Izgubljeni koledarski dnevi na zaposlenega (IO);2012;21
E37 Ravnanje z odplakami;Izgubljeni koledarski dnevi na zaposlenega (IO);2013;16
E37 Ravnanje z odplakami;Izgubljeni koledarski dnevi na zaposlenega (IO);2014;19
E37 Ravnanje z odplakami;Izgubljeni koledarski dnevi na zaposlenega (IO);2015;11
E37 Ravnanje z odplakami;Izgubljeni koledarski dnevi na zaposlenega (IO);2016;12
E37 Ravnanje z odplakami;Izgubljeni koledarski dnevi na zaposlenega (IO);2017;17
E37 Ravnanje z odplakami;Izgubljeni koledarski dnevi na zaposlenega (IO);2018;19
E38 Zbiranje in odvoz odpadkov ter ravnanje z njimi, pridobivanj;Izgubljeni koledarski dnevi na zaposlenega (IO);2010;18
E38 Zbiranje in odvoz odpadkov ter ravnanje z njimi, pridobivanj;Izgubljeni koledarski dnevi na zaposlenega (IO);2011;18
E38 Zbiranje in odvoz odpadkov ter ravnanje z njimi, pridobivanj;Izgubljeni koledarski dnevi na zaposlenega (IO);2012;18
E38 Zbiranje in odvoz odpadkov ter ravnanje z njimi, pridobivanj;Izgubljeni koledarski dnevi na zaposlenega (IO);2013;18
E38 Zbiranje in odvoz odpadkov ter ravnanje z njimi, pridobivanj;Izgubljeni koledarski dnevi na zaposlenega (IO);2014;17
E38 Zbiranje in odvoz odpadkov ter ravnanje z njimi, pridobivanj;Izgubljeni koledarski dnevi na zaposlenega (IO);2015;17
E38 Zbiranje in odvoz odpadkov ter ravnanje z njimi, pridobivanj;Izgubljeni koledarski dnevi na zaposlenega (IO);2016;18
E38 Zbiranje in odvoz odpadkov ter ravnanje z njimi, pridobivanj;Izgubljeni koledarski dnevi na zaposlenega (IO);2017;23
E38 Zbiranje in odvoz odpadkov ter ravnanje z njimi, pridobivanj;Izgubljeni koledarski dnevi na zaposlenega (IO);2018;18
E39 Saniranje okolja in drugo ravnanje z odpadki;Izgubljeni koledarski dnevi na zaposlenega (IO);2010;22
E39 Saniranje okolja in drugo ravnanje z odpadki;Izgubljeni koledarski dnevi na zaposlenega (IO);2011;11
E39 Saniranje okolja in drugo ravnanje z odpadki;Izgubljeni koledarski dnevi na zaposlenega (IO);2012;9
E39 Saniranje okolja in drugo ravnanje z odpadki;Izgubljeni koledarski dnevi na zaposlenega (IO);2013;10
E39 Saniranje okolja in drugo ravnanje z odpadki;Izgubljeni koledarski dnevi na zaposlenega (IO);2014;14
E39 Saniranje okolja in drugo ravnanje z odpadki;Izgubljeni koledarski dnevi na zaposlenega (IO);2015;11
E39 Saniranje okolja in drugo ravnanje z odpadki;Izgubljeni koledarski dnevi na zaposlenega (IO);2016;22
E39 Saniranje okolja in drugo ravnanje z odpadki;Izgubljeni koledarski dnevi na zaposlenega (IO);2017;17
E39 Saniranje okolja in drugo ravnanje z odpadki;Izgubljeni koledarski dnevi na zaposlenega (IO);2018;13
F41 Gradnja stavb;Izgubljeni koledarski dnevi na zaposlenega (IO);2010;16
F41 Gradnja stavb;Izgubljeni koledarski dnevi na zaposlenega (IO);2011;14
F41 Gradnja stavb;Izgubljeni koledarski dnevi na zaposlenega (IO);2012;17
F41 Gradnja stavb;Izgubljeni koledarski dnevi na zaposlenega (IO);2013;15
F41 Gradnja stavb;Izgubljeni koledarski dnevi na zaposlenega (IO);2014;11
F41 Gradnja stavb;Izgubljeni koledarski dnevi na zaposlenega (IO);2015;13
F41 Gradnja stavb;Izgubljeni koledarski dnevi na zaposlenega (IO);2016;12
F41 Gradnja stavb;Izgubljeni koledarski dnevi na zaposlenega (IO);2017;12
F41 Gradnja stavb;Izgubljeni koledarski dnevi na zaposlenega (IO);2018;13
F42 Gradnja inženirskih objektov;Izgubljeni koledarski dnevi na zaposlenega (IO);2010;15
F42 Gradnja inženirskih objektov;Izgubljeni koledarski dnevi na zaposlenega (IO);2011;19
F42 Gradnja inženirskih objektov;Izgubljeni koledarski dnevi na zaposlenega (IO);2012;17
F42 Gradnja inženirskih objektov;Izgubljeni koledarski dnevi na zaposlenega (IO);2013;15
F42 Gradnja inženirskih objektov;Izgubljeni koledarski dnevi na zaposlenega (IO);2014;13
F42 Gradnja inženirskih objektov;Izgubljeni koledarski dnevi na zaposlenega (IO);2015;14
F42 Gradnja inženirskih objektov;Izgubljeni koledarski dnevi na zaposlenega (IO);2016;14
F42 Gradnja inženirskih objektov;Izgubljeni koledarski dnevi na zaposlenega (IO);2017;16
F42 Gradnja inženirskih objektov;Izgubljeni koledarski dnevi na zaposlenega (IO);2018;14
F43 Specializirana gradbena dela;Izgubljeni koledarski dnevi na zaposlenega (IO);2010;11
F43 Specializirana gradbena dela;Izgubljeni koledarski dnevi na zaposlenega (IO);2011;12
F43 Specializirana gradbena dela;Izgubljeni koledarski dnevi na zaposlenega (IO);2012;13
F43 Specializirana gradbena dela;Izgubljeni koledarski dnevi na zaposlenega (IO);2013;11
F43 Specializirana gradbena dela;Izgubljeni koledarski dnevi na zaposlenega (IO);2014;11
F43 Specializirana gradbena dela;Izgubljeni koledarski dnevi na zaposlenega (IO);2015;12
F43 Specializirana gradbena dela;Izgubljeni koledarski dnevi na zaposlenega (IO);2016;12
F43 Specializirana gradbena dela;Izgubljeni koledarski dnevi na zaposlenega (IO);2017;12
F43 Specializirana gradbena dela;Izgubljeni koledarski dnevi na zaposlenega (IO);2018;12
G45 Trgovina z motornimi vozili in popravila motornih vozil;Izgubljeni koledarski dnevi na zaposlenega (IO);2010;12
G45 Trgovina z motornimi vozili in popravila motornih vozil;Izgubljeni koledarski dnevi na zaposlenega (IO);2011;11
G45 Trgovina z motornimi vozili in popravila motornih vozil;Izgubljeni koledarski dnevi na zaposlenega (IO);2012;11
G45 Trgovina z motornimi vozili in popravila motornih vozil;Izgubljeni koledarski dnevi na zaposlenega (IO);2013;11
G45 Trgovina z motornimi vozili in popravila motornih vozil;Izgubljeni koledarski dnevi na zaposlenega (IO);2014;10
G45 Trgovina z motornimi vozili in popravila motornih vozil;Izgubljeni koledarski dnevi na zaposlenega (IO);2015;11
G45 Trgovina z motornimi vozili in popravila motornih vozil;Izgubljeni koledarski dnevi na zaposlenega (IO);2016;11
G45 Trgovina z motornimi vozili in popravila motornih vozil;Izgubljeni koledarski dnevi na zaposlenega (IO);2017;11
G45 Trgovina z motornimi vozili in popravila motornih vozil;Izgubljeni koledarski dnevi na zaposlenega (IO);2018;11
G46 Posredništvo in trgovina na debelo, razen z motornimi vozili;Izgubljeni koledarski dnevi na zaposlenega (IO);2010;12
G46 Posredništvo in trgovina na debelo, razen z motornimi vozili;Izgubljeni koledarski dnevi na zaposlenega (IO);2011;11
G46 Posredništvo in trgovina na debelo, razen z motornimi vozili;Izgubljeni koledarski dnevi na zaposlenega (IO);2012;11
G46 Posredništvo in trgovina na debelo, razen z motornimi vozili;Izgubljeni koledarski dnevi na zaposlenega (IO);2013;11
G46 Posredništvo in trgovina na debelo, razen z motornimi vozili;Izgubljeni koledarski dnevi na zaposlenega (IO);2014;10
G46 Posredništvo in trgovina na debelo, razen z motornimi vozili;Izgubljeni koledarski dnevi na zaposlenega (IO);2015;10
G46 Posredništvo in trgovina na debelo, razen z motornimi vozili;Izgubljeni koledarski dnevi na zaposlenega (IO);2016;10
G46 Posredništvo in trgovina na debelo, razen z motornimi vozili;Izgubljeni koledarski dnevi na zaposlenega (IO);2017;11
G46 Posredništvo in trgovina na debelo, razen z motornimi vozili;Izgubljeni koledarski dnevi na zaposlenega (IO);2018;12
G47 Trgovina na drobno, razen z motornimi vozili;Izgubljeni koledarski dnevi na zaposlenega (IO);2010;16
G47 Trgovina na drobno, razen z motornimi vozili;Izgubljeni koledarski dnevi na zaposlenega (IO);2011;16
G47 Trgovina na drobno, razen z motornimi vozili;Izgubljeni koledarski dnevi na zaposlenega (IO);2012;16
G47 Trgovina na drobno, razen z motornimi vozili;Izgubljeni koledarski dnevi na zaposlenega (IO);2013;17
G47 Trgovina na drobno, razen z motornimi vozili;Izgubljeni koledarski dnevi na zaposlenega (IO);2014;15
G47 Trgovina na drobno, razen z motornimi vozili;Izgubljeni koledarski dnevi na zaposlenega (IO);2015;17
G47 Trgovina na drobno, razen z motornimi vozili;Izgubljeni koledarski dnevi na zaposlenega (IO);2016;17
G47 Trgovina na drobno, razen z motornimi vozili;Izgubljeni koledarski dnevi na zaposlenega (IO);2017;18
G47 Trgovina na drobno, razen z motornimi vozili;Izgubljeni koledarski dnevi na zaposlenega (IO);2018;20
H49 Kopenski promet, cevovodni transport;Izgubljeni koledarski dnevi na zaposlenega (IO);2010;12
H49 Kopenski promet, cevovodni transport;Izgubljeni koledarski dnevi na zaposlenega (IO);2011;11
H49 Kopenski promet, cevovodni transport;Izgubljeni koledarski dnevi na zaposlenega (IO);2012;12
H49 Kopenski promet, cevovodni transport;Izgubljeni koledarski dnevi na zaposlenega (IO);2013;12
H49 Kopenski promet, cevovodni transport;Izgubljeni koledarski dnevi na zaposlenega (IO);2014;11
H49 Kopenski promet, cevovodni transport;Izgubljeni koledarski dnevi na zaposlenega (IO);2015;11
H49 Kopenski promet, cevovodni transport;Izgubljeni koledarski dnevi na zaposlenega (IO);2016;10
H49 Kopenski promet, cevovodni transport;Izgubljeni koledarski dnevi na zaposlenega (IO);2017;10
H49 Kopenski promet, cevovodni transport;Izgubljeni koledarski dnevi na zaposlenega (IO);2018;11
H50 Vodni promet;Izgubljeni koledarski dnevi na zaposlenega (IO);2010;14
H50 Vodni promet;Izgubljeni koledarski dnevi na zaposlenega (IO);2011;15
H50 Vodni promet;Izgubljeni koledarski dnevi na zaposlenega (IO);2012;13
H50 Vodni promet;Izgubljeni koledarski dnevi na zaposlenega (IO);2013;8
H50 Vodni promet;Izgubljeni koledarski dnevi na zaposlenega (IO);2014;4
H50 Vodni promet;Izgubljeni koledarski dnevi na zaposlenega (IO);2015;7
H50 Vodni promet;Izgubljeni koledarski dnevi na zaposlenega (IO);2016;7
H50 Vodni promet;Izgubljeni koledarski dnevi na zaposlenega (IO);2017;7
H50 Vodni promet;Izgubljeni koledarski dnevi na zaposlenega (IO);2018;9
H51 Zra?ni promet;Izgubljeni koledarski dnevi na zaposlenega (IO);2010;19
H51 Zra?ni promet;Izgubljeni koledarski dnevi na zaposlenega (IO);2011;14
H51 Zra?ni promet;Izgubljeni koledarski dnevi na zaposlenega (IO);2012;12
H51 Zra?ni promet;Izgubljeni koledarski dnevi na zaposlenega (IO);2013;13
H51 Zra?ni promet;Izgubljeni koledarski dnevi na zaposlenega (IO);2014;12
H51 Zra?ni promet;Izgubljeni koledarski dnevi na zaposlenega (IO);2015;14
H51 Zra?ni promet;Izgubljeni koledarski dnevi na zaposlenega (IO);2016;15
H51 Zra?ni promet;Izgubljeni koledarski dnevi na zaposlenega (IO);2017;14
H51 Zra?ni promet;Izgubljeni koledarski dnevi na zaposlenega (IO);2018;15
H52 Skladiš?enje in spremljajo?e prometne dejavnosti;Izgubljeni koledarski dnevi na zaposlenega (IO);2010;13
H52 Skladiš?enje in spremljajo?e prometne dejavnosti;Izgubljeni koledarski dnevi na zaposlenega (IO);2011;16
H52 Skladiš?enje in spremljajo?e prometne dejavnosti;Izgubljeni koledarski dnevi na zaposlenega (IO);2012;14
H52 Skladiš?enje in spremljajo?e prometne dejavnosti;Izgubljeni koledarski dnevi na zaposlenega (IO);2013;15
H52 Skladiš?enje in spremljajo?e prometne dejavnosti;Izgubljeni koledarski dnevi na zaposlenega (IO);2014;14
H52 Skladiš?enje in spremljajo?e prometne dejavnosti;Izgubljeni koledarski dnevi na zaposlenega (IO);2015;14
H52 Skladiš?enje in spremljajo?e prometne dejavnosti;Izgubljeni koledarski dnevi na zaposlenega (IO);2016;13
H52 Skladiš?enje in spremljajo?e prometne dejavnosti;Izgubljeni koledarski dnevi na zaposlenega (IO);2017;15
H52 Skladiš?enje in spremljajo?e prometne dejavnosti;Izgubljeni koledarski dnevi na zaposlenega (IO);2018;16
H53 Poštna in kurirska dejavnost;Izgubljeni koledarski dnevi na zaposlenega (IO);2010;20
H53 Poštna in kurirska dejavnost;Izgubljeni koledarski dnevi na zaposlenega (IO);2011;19
H53 Poštna in kurirska dejavnost;Izgubljeni koledarski dnevi na zaposlenega (IO);2012;20
H53 Poštna in kurirska dejavnost;Izgubljeni koledarski dnevi na zaposlenega (IO);2013;21
H53 Poštna in kurirska dejavnost;Izgubljeni koledarski dnevi na zaposlenega (IO);2014;20
H53 Poštna in kurirska dejavnost;Izgubljeni koledarski dnevi na zaposlenega (IO);2015;22
H53 Poštna in kurirska dejavnost;Izgubljeni koledarski dnevi na zaposlenega (IO);2016;22
H53 Poštna in kurirska dejavnost;Izgubljeni koledarski dnevi na zaposlenega (IO);2017;23
H53 Poštna in kurirska dejavnost;Izgubljeni koledarski dnevi na zaposlenega (IO);2018;26
I55 Gostinske nastanitvene dejavnosti;Izgubljeni koledarski dnevi na zaposlenega (IO);2010;21
I55 Gostinske nastanitvene dejavnosti;Izgubljeni koledarski dnevi na zaposlenega (IO);2011;22
I55 Gostinske nastanitvene dejavnosti;Izgubljeni koledarski dnevi na zaposlenega (IO);2012;20
I55 Gostinske nastanitvene dejavnosti;Izgubljeni koledarski dnevi na zaposlenega (IO);2013;20
I55 Gostinske nastanitvene dejavnosti;Izgubljeni koledarski dnevi na zaposlenega (IO);2014;19
I55 Gostinske nastanitvene dejavnosti;Izgubljeni koledarski dnevi na zaposlenega (IO);2015;20
I55 Gostinske nastanitvene dejavnosti;Izgubljeni koledarski dnevi na zaposlenega (IO);2016;18
I55 Gostinske nastanitvene dejavnosti;Izgubljeni koledarski dnevi na zaposlenega (IO);2017;19
I55 Gostinske nastanitvene dejavnosti;Izgubljeni koledarski dnevi na zaposlenega (IO);2018;20
I56 Dejavnost strežbe jedi in pija?;Izgubljeni koledarski dnevi na zaposlenega (IO);2010;13
I56 Dejavnost strežbe jedi in pija?;Izgubljeni koledarski dnevi na zaposlenega (IO);2011;12
I56 Dejavnost strežbe jedi in pija?;Izgubljeni koledarski dnevi na zaposlenega (IO);2012;12
I56 Dejavnost strežbe jedi in pija?;Izgubljeni koledarski dnevi na zaposlenega (IO);2013;13
I56 Dejavnost strežbe jedi in pija?;Izgubljeni koledarski dnevi na zaposlenega (IO);2014;12
I56 Dejavnost strežbe jedi in pija?;Izgubljeni koledarski dnevi na zaposlenega (IO);2015;12
I56 Dejavnost strežbe jedi in pija?;Izgubljeni koledarski dnevi na zaposlenega (IO);2016;12
I56 Dejavnost strežbe jedi in pija?;Izgubljeni koledarski dnevi na zaposlenega (IO);2017;13
I56 Dejavnost strežbe jedi in pija?;Izgubljeni koledarski dnevi na zaposlenega (IO);2018;14
J58 Založništvo;Izgubljeni koledarski dnevi na zaposlenega (IO);2010;12
J58 Založništvo;Izgubljeni koledarski dnevi na zaposlenega (IO);2011;12
J58 Založništvo;Izgubljeni koledarski dnevi na zaposlenega (IO);2012;10
J58 Založništvo;Izgubljeni koledarski dnevi na zaposlenega (IO);2013;12
J58 Založništvo;Izgubljeni koledarski dnevi na zaposlenega (IO);2014;12
J58 Založništvo;Izgubljeni koledarski dnevi na zaposlenega (IO);2015;14
J58 Založništvo;Izgubljeni koledarski dnevi na zaposlenega (IO);2016;13
J58 Založništvo;Izgubljeni koledarski dnevi na zaposlenega (IO);2017;12
J58 Založništvo;Izgubljeni koledarski dnevi na zaposlenega (IO);2018;12
J59 Dejavnosti v zvezi s filmi, video- in zvo?nimi zapisi;Izgubljeni koledarski dnevi na zaposlenega (IO);2010;6
J59 Dejavnosti v zvezi s filmi, video- in zvo?nimi zapisi;Izgubljeni koledarski dnevi na zaposlenega (IO);2011;7
J59 Dejavnosti v zvezi s filmi, video- in zvo?nimi zapisi;Izgubljeni koledarski dnevi na zaposlenega (IO);2012;9
J59 Dejavnosti v zvezi s filmi, video- in zvo?nimi zapisi;Izgubljeni koledarski dnevi na zaposlenega (IO);2013;6
J59 Dejavnosti v zvezi s filmi, video- in zvo?nimi zapisi;Izgubljeni koledarski dnevi na zaposlenega (IO);2014;6
J59 Dejavnosti v zvezi s filmi, video- in zvo?nimi zapisi;Izgubljeni koledarski dnevi na zaposlenega (IO);2015;6
J59 Dejavnosti v zvezi s filmi, video- in zvo?nimi zapisi;Izgubljeni koledarski dnevi na zaposlenega (IO);2016;5
J59 Dejavnosti v zvezi s filmi, video- in zvo?nimi zapisi;Izgubljeni koledarski dnevi na zaposlenega (IO);2017;7
J59 Dejavnosti v zvezi s filmi, video- in zvo?nimi zapisi;Izgubljeni koledarski dnevi na zaposlenega (IO);2018;8
J60 Radijska in televizijska dejavnost;Izgubljeni koledarski dnevi na zaposlenega (IO);2010;12
J60 Radijska in televizijska dejavnost;Izgubljeni koledarski dnevi na zaposlenega (IO);2011;10
J60 Radijska in televizijska dejavnost;Izgubljeni koledarski dnevi na zaposlenega (IO);2012;10
J60 Radijska in televizijska dejavnost;Izgubljeni koledarski dnevi na zaposlenega (IO);2013;10
J60 Radijska in televizijska dejavnost;Izgubljeni koledarski dnevi na zaposlenega (IO);2014;11
J60 Radijska in televizijska dejavnost;Izgubljeni koledarski dnevi na zaposlenega (IO);2015;12
J60 Radijska in televizijska dejavnost;Izgubljeni koledarski dnevi na zaposlenega (IO);2016;12
J60 Radijska in televizijska dejavnost;Izgubljeni koledarski dnevi na zaposlenega (IO);2017;12
J60 Radijska in televizijska dejavnost;Izgubljeni koledarski dnevi na zaposlenega (IO);2018;12
J61 Telekomunikacijske dejavnosti;Izgubljeni koledarski dnevi na zaposlenega (IO);2010;11
J61 Telekomunikacijske dejavnosti;Izgubljeni koledarski dnevi na zaposlenega (IO);2011;11
J61 Telekomunikacijske dejavnosti;Izgubljeni koledarski dnevi na zaposlenega (IO);2012;11
J61 Telekomunikacijske dejavnosti;Izgubljeni koledarski dnevi na zaposlenega (IO);2013;12
J61 Telekomunikacijske dejavnosti;Izgubljeni koledarski dnevi na zaposlenega (IO);2014;11
J61 Telekomunikacijske dejavnosti;Izgubljeni koledarski dnevi na zaposlenega (IO);2015;13
J61 Telekomunikacijske dejavnosti;Izgubljeni koledarski dnevi na zaposlenega (IO);2016;13
J61 Telekomunikacijske dejavnosti;Izgubljeni koledarski dnevi na zaposlenega (IO);2017;13
J61 Telekomunikacijske dejavnosti;Izgubljeni koledarski dnevi na zaposlenega (IO);2018;15
J62 Ra?unalniško programiranje, svetovanje in druge s tem…;Izgubljeni koledarski dnevi na zaposlenega (IO);2010;6
J62 Ra?unalniško programiranje, svetovanje in druge s tem…;Izgubljeni koledarski dnevi na zaposlenega (IO);2011;7
J62 Ra?unalniško programiranje, svetovanje in druge s tem…;Izgubljeni koledarski dnevi na zaposlenega (IO);2012;6
J62 Ra?unalniško programiranje, svetovanje in druge s tem…;Izgubljeni koledarski dnevi na zaposlenega (IO);2013;7
J62 Ra?unalniško programiranje, svetovanje in druge s tem…;Izgubljeni koledarski dnevi na zaposlenega (IO);2014;6
J62 Ra?unalniško programiranje, svetovanje in druge s tem…;Izgubljeni koledarski dnevi na zaposlenega (IO);2015;7
J62 Ra?unalniško programiranje, svetovanje in druge s tem…;Izgubljeni koledarski dnevi na zaposlenega (IO);2016;6
J62 Ra?unalniško programiranje, svetovanje in druge s tem…;Izgubljeni koledarski dnevi na zaposlenega (IO);2017;6
J62 Ra?unalniško programiranje, svetovanje in druge s tem…;Izgubljeni koledarski dnevi na zaposlenega (IO);2018;7
J63 Druge informacijske dejavnosti;Izgubljeni koledarski dnevi na zaposlenega (IO);2010;12
J63 Druge informacijske dejavnosti;Izgubljeni koledarski dnevi na zaposlenega (IO);2011;9
J63 Druge informacijske dejavnosti;Izgubljeni koledarski dnevi na zaposlenega (IO);2012;9
J63 Druge informacijske dejavnosti;Izgubljeni koledarski dnevi na zaposlenega (IO);2013;9
J63 Druge informacijske dejavnosti;Izgubljeni koledarski dnevi na zaposlenega (IO);2014;8
J63 Druge informacijske dejavnosti;Izgubljeni koledarski dnevi na zaposlenega (IO);2015;12
J63 Druge informacijske dejavnosti;Izgubljeni koledarski dnevi na zaposlenega (IO);2016;10
J63 Druge informacijske dejavnosti;Izgubljeni koledarski dnevi na zaposlenega (IO);2017;10
J63 Druge informacijske dejavnosti;Izgubljeni koledarski dnevi na zaposlenega (IO);2018;10
K64 Dejavnosti finan?nih storitev, razen zavarovalništva in deja;Izgubljeni koledarski dnevi na zaposlenega (IO);2010;14
K64 Dejavnosti finan?nih storitev, razen zavarovalništva in deja;Izgubljeni koledarski dnevi na zaposlenega (IO);2011;14
K64 Dejavnosti finan?nih storitev, razen zavarovalništva in deja;Izgubljeni koledarski dnevi na zaposlenega (IO);2012;14
K64 Dejavnosti finan?nih storitev, razen zavarovalništva in deja;Izgubljeni koledarski dnevi na zaposlenega (IO);2013;14
K64 Dejavnosti finan?nih storitev, razen zavarovalništva in deja;Izgubljeni koledarski dnevi na zaposlenega (IO);2014;14
K64 Dejavnosti finan?nih storitev, razen zavarovalništva in deja;Izgubljeni koledarski dnevi na zaposlenega (IO);2015;16
K64 Dejavnosti finan?nih storitev, razen zavarovalništva in deja;Izgubljeni koledarski dnevi na zaposlenega (IO);2016;15
K64 Dejavnosti finan?nih storitev, razen zavarovalništva in deja;Izgubljeni koledarski dnevi na zaposlenega (IO);2017;16
K64 Dejavnosti finan?nih storitev, razen zavarovalništva in deja;Izgubljeni koledarski dnevi na zaposlenega (IO);2018;17
K65 Dejavnosti zavarovanja, pozavarovanja in pokojninskih sklado;Izgubljeni koledarski dnevi na zaposlenega (IO);2010;14
K65 Dejavnosti zavarovanja, pozavarovanja in pokojninskih sklado;Izgubljeni koledarski dnevi na zaposlenega (IO);2011;15
K65 Dejavnosti zavarovanja, pozavarovanja in pokojninskih sklado;Izgubljeni koledarski dnevi na zaposlenega (IO);2012;13
K65 Dejavnosti zavarovanja, pozavarovanja in pokojninskih sklado;Izgubljeni koledarski dnevi na zaposlenega (IO);2013;14
K65 Dejavnosti zavarovanja, pozavarovanja in pokojninskih sklado;Izgubljeni koledarski dnevi na zaposlenega (IO);2014;12
K65 Dejavnosti zavarovanja, pozavarovanja in pokojninskih sklado;Izgubljeni koledarski dnevi na zaposlenega (IO);2015;13
K65 Dejavnosti zavarovanja, pozavarovanja in pokojninskih sklado;Izgubljeni koledarski dnevi na zaposlenega (IO);2016;13
K65 Dejavnosti zavarovanja, pozavarovanja in pokojninskih sklado;Izgubljeni koledarski dnevi na zaposlenega (IO);2017;15
K65 Dejavnosti zavarovanja, pozavarovanja in pokojninskih sklado;Izgubljeni koledarski dnevi na zaposlenega (IO);2018;15
K66 Pomožne dejavnosti za finan?ne in zavarovalniške storitve;Izgubljeni koledarski dnevi na zaposlenega (IO);2010;11
K66 Pomožne dejavnosti za finan?ne in zavarovalniške storitve;Izgubljeni koledarski dnevi na zaposlenega (IO);2011;11
K66 Pomožne dejavnosti za finan?ne in zavarovalniške storitve;Izgubljeni koledarski dnevi na zaposlenega (IO);2012;12
K66 Pomožne dejavnosti za finan?ne in zavarovalniške storitve;Izgubljeni koledarski dnevi na zaposlenega (IO);2013;11
K66 Pomožne dejavnosti za finan?ne in zavarovalniške storitve;Izgubljeni koledarski dnevi na zaposlenega (IO);2014;9
K66 Pomožne dejavnosti za finan?ne in zavarovalniške storitve;Izgubljeni koledarski dnevi na zaposlenega (IO);2015;10
K66 Pomožne dejavnosti za finan?ne in zavarovalniške storitve;Izgubljeni koledarski dnevi na zaposlenega (IO);2016;12
K66 Pomožne dejavnosti za finan?ne in zavarovalniške storitve;Izgubljeni koledarski dnevi na zaposlenega (IO);2017;10
K66 Pomožne dejavnosti za finan?ne in zavarovalniške storitve;Izgubljeni koledarski dnevi na zaposlenega (IO);2018;13
L68 Poslovanje z nepremi?ninami;Izgubljeni koledarski dnevi na zaposlenega (IO);2010;12
L68 Poslovanje z nepremi?ninami;Izgubljeni koledarski dnevi na zaposlenega (IO);2011;14
L68 Poslovanje z nepremi?ninami;Izgubljeni koledarski dnevi na zaposlenega (IO);2012;10
L68 Poslovanje z nepremi?ninami;Izgubljeni koledarski dnevi na zaposlenega (IO);2013;13
L68 Poslovanje z nepremi?ninami;Izgubljeni koledarski dnevi na zaposlenega (IO);2014;10
L68 Poslovanje z nepremi?ninami;Izgubljeni koledarski dnevi na zaposlenega (IO);2015;11
L68 Poslovanje z nepremi?ninami;Izgubljeni koledarski dnevi na zaposlenega (IO);2016;12
L68 Poslovanje z nepremi?ninami;Izgubljeni koledarski dnevi na zaposlenega (IO);2017;12
L68 Poslovanje z nepremi?ninami;Izgubljeni koledarski dnevi na zaposlenega (IO);2018;14
